hotel_id,url,name,hotel_class,description,address,rating,total_reviews,reason_to_choose,popular_amenities,facilities_rating,cleaning_rating,comfort_rating,value_for_money_rating,location_rating,free_wifi_rating,insert_time
250,https://www.booking.com/hotel/de/nhfrankfurtniederrad.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=60589;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788544;srpvid=427b6cdfb6b10256;type=total;ucfs=1&#hotelTmpl,"
NH Frankfurt Niederrad
",0,"You're eligible for a Genius discount at NH Frankfurt Niederrad! To save at this property, all you have to do is .Offering spacious rooms and international cuisine, this hotel is located in the Niederrad district of Frankfurt. Frankfurt Central Station is 1 stop away by S-Bahn Train. Free WiFi is available in all public areas and in the rooms at the 4-star NH Frankfurt Niederrad.Rooms include soundproofed windows, a mini-bar and satellite TV. Mediterranean meals and Frankfurt specialties are served in NH's restaurant and on the terrace.The elegant bar offers cocktails, international wines, local Apfelwein cider and beer made from local berries.Within a 2-minute walk are 2 supermarkets. Haardtwaldplatz Tram Stop is a 7-minute walk away, and Niederrad Train Station is a 10-minute walk away. Drivers are just 2 minutes from the A5 motorway. ","
Lyoner Straße 5, Niederrad, 60528 Frankfurt, Germany
",8.2,2249,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Non-smoking rooms,Restaurant,24-hour front desk,Tea/Coffee Maker in All Rooms,Bar,",8.2,8.7,8.5,8.6,8,7.9,"2022-06-14 19:04:15"
251,https://www.booking.com/hotel/de/victors-residenz-hotels-berlin-tegel.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=61271;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788689;srpvid=a55c6d2852010a71;type=total;ucfs=1&#hotelTmpl,"
Victor's Residenz-Hotel Berlin Tegel
",0,"In Berlin’s Reinickendorf district, this modern 3-star superior hotel is close to the A111 highway and public transportation, providing easy access to Tegel Airport and countless famous attractions.Victor's Residenz Hotel Berlin Tegel is a short walk from the Franz-Neumann-Platz Underground Station. From here, you will enjoy a fast link to all of the city’s most popular sights. These include the Alexanderplatz square, the Brandenburg Gate and the Museum Island.Guests at Victor's Residenz Hotel Berlin Tegel will have comfortably furnished rooms and free Wi-Fi. The friendly hotel staff will gladly help you with sightseeing advice and area information.Victor's Bar at Victors Residenz is an ideal place to relax with a refreshing drink after an exciting sightseeing trip, or a busy day at work. ","
Holländerstr. 31, Reinickendorf, 13407 Berlin, Germany
",7.6,1165,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Non-smoking rooms,24-hour front desk,Terrace,Bar,",7.6,8.1,7.8,7.7,7.6,8.0,"2022-06-14 19:04:28"
252,https://www.booking.com/hotel/de/innsidepremiumhotel.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=62030;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788282;srpvid=cd946c5c487002e9;type=total;ucfs=1&#hotelTmpl,"
DoubleTree by Hilton Frankfurt Niederrad
",0,"This hotel offers modern studios with free internet access, free Sky TV channels and a gym. It lies in Frankfurt's Niederrad district, a 20-minute journey from the city center.The air-conditioned studios of the DoubleTree by Hilton Frankfurt Niederrad hotel feature a designer bathroom and flat-screen TV.International cuisine is served at the Hernies restaurant with terrace. Guests are welcome to relax with a drink in the DoubleTree by Hilton Frankfurt Niederrad´s stylish bar.The nearest tram stop is 1,650 feet from the hotel. Niederrad S-Bahn train station is a 10-minute walk away. ","
Herriotstr. 2, Niederrad, 60528 Frankfurt, Germany
",7,138,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Non-smoking rooms,Fitness center,Restaurant,Tea/Coffee Maker in All Rooms,Bar,",7.5,7.9,8,7.1,7.6,7.5,"2022-06-14 19:04:31"
253,https://www.booking.com/hotel/de/frankfurt-congress.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=60971;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788427;srpvid=ce416ca5a71002ca;type=total;ucfs=1&#hotelTmpl,"
Crowne Plaza Frankfurt Congress Hotel, an IHG Hotel
",0,"Offering 2 restaurants, Crowne Plaza Frankfurt Congress Hotel is 650 feet from the 18-hole Frankfurt Golf Club. Frankfurt Airport is a 10-minute drive away.The air-conditioned rooms and suites feature soundproofed windows, broadband internet, and telephone.A sauna, steam room, and modern gym are located in the wellness area.German and international food is served in the hotel restaurants. During summer, guests can relax on the terrace overlooking the forest. The hotel bar offers a selection of cocktails and snacks.Guests can use the lounge with free WiFi, internet work stations, and a big flat-screen TV.The Niederrad S-Bahn (city rail) station is 0.6 mi from the Hotel. Trains run to Frankfurt Central Station in 5 minutes. ","
Lyoner Strasse 44 -48, Niederrad, 60528 Frankfurt, Germany
",8.1,2911,"
Booking is safe

Manage your bookings online

The staff speaks English
","1 swimming pool,Parking,Free WiFi,Pet friendly,Family rooms,Tea/Coffee Maker in All Rooms,Bar,",8.3,8.6,8.5,8.5,7.9,8.2,"2022-06-14 19:04:37"
254,https://www.booking.com/hotel/de/b-b-stuttgart-city.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=241644;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788864;srpvid=cb806d7fc79f0364;type=total;ucfs=1&#hotelTmpl,"
B&B Hotel Stuttgart-City
",0,"This non-smoking hotel is located in the Feuerbach district, north of central Stuttgart. It offers modern rooms with free Wi-Fi internet. On-site parking is free.The soundproofed rooms of the B&B Hotel Stuttgart-City feature air conditioning, satellite TV, a work desk and a private bathroom.A breakfast buffet is available each morning at the Stuttgart B&B Hotel. A drink and snack machine is available 24 hours a day.The B&B Stuttgart City is a short walk from Maybachstraße subway station and Feuerbach City train station. Stuttgart Main Station is a 6 minute train ride away. ","
Siemensstr. 58, 70469 Stuttgart, Germany
",8,1170,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Family rooms,Non-smoking rooms,Heating,",7.9,8.4,8.1,8.5,7.9,8.4,"2022-06-14 19:04:39"
255,https://www.booking.com/hotel/de/hampton-by-hilton-berlin-city-west.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=255305;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654789170;srpvid=10196e188b1f00e3;type=total;ucfs=1&#hotelTmpl,"
Hampton by Hilton Berlin City West
",0,"Just a 5 minute walk from the Kurfürstendamm shopping street, this Hampton by Hilton hotel in Berlin's Charlottenburg district offers air-conditioned rooms, free Wi-Fi and free use of the modern gym.Every room at the Hampton by Hilton Berlin City West features a flat-screen TV, tea/coffee facilities, and a bathroom with glass shower. Many rooms have a terrace overlooking the city.A buffet breakfast is provided each morning at the Hampton Berlin. Hot drinks and light meals are available in the Hampton by Hilton’s 24-hour snack area.The Hilton Berlin City West’s 24-hour business area features a library, 3 internet terminals and a printer which can be used free of charge.Uhlandstraße Underground Station is just a quarter mile from the Hampton by Hilton. Trains run to the famous KaDeWe department store in 3 minutes. ","
Uhlandstraße 188-189, Charlottenburg-Wilmersdorf, 10623 Berlin, Germany
",8.4,5852,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Family rooms,Non-smoking rooms,Fitness center,Facilities for disabled guests,Bar,",8.4,8.9,8.6,8.6,9,8.6,"2022-06-14 19:04:42"
256,https://www.booking.com/hotel/de/the-niu-form.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=6352747;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654789015;srpvid=9fc26dca4cc300e8;type=total;ucfs=1&#hotelTmpl,"
the niu Form
",0,"You're eligible for a Genius discount at the niu Form! To save at this property, all you have to do is .Located in Stuttgart, 2.4 miles from Canstatter Wasen, the niu Form has accommodations with a bar and private parking. Among the facilities at this property are a 24-hour front desk and luggage storage space, along with free WiFi throughout the property. Messe Stuttgart is 11 miles from the hotel and Theaterhaus Stuttgart is a 3-minute walk away.The rooms are equipped with air conditioning and a flat-screen TV, and some rooms at the hotel have a safety deposit box. All rooms feature a private bathroom, a hairdryer and bed linen.A buffet breakfast is available every morning at the niu Form.State Theater is 2.6 miles from the accommodation, while Porsche-Arena is 2.8 miles from the property. The nearest airport is Stuttgart Airport, 11 miles from the niu Form. ","
50 Leitzstraße, 70469 Stuttgart, Germany
",8.1,2119,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Non-smoking rooms,Facilities for disabled guests,24-hour front desk,Bar,",8.3,8.6,8.5,8.7,8.1,8.5,"2022-06-14 19:04:43"
257,https://www.booking.com/hotel/de/days-inn-berlin-west.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=66925;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788595;srpvid=b7cb6cf9f67201ce;type=total;ucfs=1&#hotelTmpl,"
Good Morning Berlin City West
",0,"This hotel offers soundproofed rooms with flat-screen TV and a 24-hour reception. It is located on a quiet side street.The modern rooms at the Good Morning Berlin City West include a double bed, desk and a private bathroom with hairdryer. Wi-Fi internet access is available.A German-style breakfast buffet is served each morning. Good Morning Berlin City West also has a lobby lounge with a large TV. Restaurants, cafés and shops are within walking distance.Kurt-Schumacher-Platz bus and underground stop is 1,950 feet from the hotel. Services run to the Friedrichstraße shopping street and the Unter den Linden Boulevard in 20 minutes. ","
Kögelstr. 12-13, Reinickendorf, 13403 Berlin, Germany
",6.8,1232,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Non-smoking rooms,24-hour front desk,Elevator,",6.7,7.2,6.9,7.2,7.6,6.8,"2022-06-14 19:04:46"
258,https://www.booking.com/hotel/pl/premium-hostel.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=87267;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788638;srpvid=e7ee6d0e86c30083;type=total;ucfs=1&#hotelTmpl,"
Premium Hostel
",0,"You're eligible for a Genius discount at Premium Hostel! To save at this property, all you have to do is .Close to Cracow's old town, Premium Hostel combines the quality and service of a hotel with hostel prices, including free internet access.Premium Hostel offers a variety of room options to cater to your traveling needs. Each one is cheerfully decorated, comfortably furnished and equipped with a private bathroom.Throughout your stay you can also make full use of Premium Hostel's fully supplied, communal kitchen. Breakfast can be requested at an extra charge. There is also a pleasant lounge area at the property.Its close proximity to Cracow's old town combined with great-value accommodations makes Premium Hostel an ideal base for your stay. ","
Pomorska 2, Krowodrza, 30-039 Krakow, Poland
",8.5,4464,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Airport shuttle,Non-smoking rooms,24-hour front desk,Elevator,",8.4,8.8,8.4,8.9,8.9,8.1,"2022-06-14 19:04:49"
259,https://www.booking.com/hotel/de/stadthotel-am-romerturm.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=64752;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654789717;srpvid=5ac16f2aae9b015d;type=total;ucfs=1&#hotelTmpl,"
Stadthotel am Römerturm
",0,"You're eligible for a Genius discount at Stadthotel am Römerturm! To save at this property, all you have to do is .This modern, 4-star hotel lies in the heart of Cologne, a 10-minute walk from Cologne Main Station and Cologne Cathedral. Stadthotel am Römerturm was newly refurbished in 2013 and offers a daily breakfast buffet.All rooms at the Stadthotel am Römerturm are air-conditioned, nonsmoking and feature WiFi, a TV and a private bathroom.The restaurant at the central hotel serves international cuisine and seasonal dishes.Cologne city center is just a 10-minute walk away and guests can reach Cologne Exhibition Grounds in less than 15 minutes by public transport.The Stadthotel am Römerturm is a 4-minute walk from Appelhofplatz underground station and parking spaces are available outside the hotel. ","
St.-Apern-Str. 32, Altstadt-Nord, 50667 Cologne, Germany
",8,1768,"
Booking is safe

Manage your bookings online

The staff speaks English
","Parking,Free WiFi,Pet friendly,Non-smoking rooms,Restaurant,Facilities for disabled guests,Bar,",7.9,8.4,8.1,7.8,9.1,8.9,"2022-06-14 19:04:50"
