review_id,reviewer_name,reviewer_location,room_type,stay_time,stayed_date,reviewed_time,review_title,positive_review_text,negative_review_text,photos,review_rating,hotel_id,insert_time
1,Anonymous,Germany,none,1,"July 2021","
 July 18, 2021
","Awesome hotel with friendly staff","Everything is just perfect.","No issues at all",0,10,250,"2022-06-14 19:51:25"
2,Aura,"United States of America","Standard Double or Twin Room",2,"July 2021","
 July 15, 2021
",Fair,,,0,5,250,"2022-06-14 19:51:25"
3,Anonymous,Germany,none,1,"July 2021","
 July 13, 2021
",Disappointing,"Front desk personal on 13.July.2021 could use a training to handle a customer complain.",,0,4,250,"2022-06-14 19:51:25"
4,Satish,Switzerland,"Superior Double Room",1,"July 2021","
 July 12, 2021
","Very Good","It was a short transit overnight stop but the hotel offers enough amenities for a comfortable stay. Room was good size and nicely setup. Bathroom was clean. Comfortable bed + Air conditioning. The lady at reception (Anastasia) was very helpful and tried to make the stay comfortable, still following all the covid protocols which are quite extensive. Special thanks to her.",Nothing,0,8,250,"2022-06-14 19:51:25"
5,Basem,France,"Standard Double or Twin Room",4,"July 2021","
 July 7, 2021
","Very Good","The staff was extremely kind and helpful, they changed our room as it did not meet our expectations, they were quite helpful. There is a free coffee/tea machine at the entry, we made use of that a lot !",,0,8,250,"2022-06-14 19:51:25"
6,Muhammad,Germany,"Standard Double or Twin Room",1,"July 2021","
 July 4, 2021
",Fair,,,0,5,250,"2022-06-14 19:51:25"
7,Meerwais,"United Kingdom","Superior Double Room",1,"June 2021","
 June 30, 2021
",Exceptional,"The pesron who served us was a bit misrebale aprt from that was good",,0,10,250,"2022-06-14 19:51:25"
8,Monika,Lithuania,"Standard Double or Twin Room",1,"June 2021","
 June 27, 2021
","The front desk was not very pilotė and nice. Made nor nice jokes in front of gest in them language. Breakfast was cold.","Coffee in the lobby","Towels were with stains",0,6,250,"2022-06-14 19:51:25"
9,Ian,Australia,"Standard Double or Twin Room",2,"October 2020","
 October 31, 2020
",Good,,,0,7,250,"2022-06-14 19:51:25"
10,Dino,Croatia,"Standard Double or Twin Room",2,"October 2020","
 October 31, 2020
","Very Good",,,0,8,250,"2022-06-14 19:51:25"
11,Anonymous,Germany,none,1,"September 2020","
 October 24, 2020
",Good,,,0,7,250,"2022-06-14 19:51:25"
12,Anonymous,Belgium,none,1,"September 2020","
 October 12, 2020
","Very Good",,,0,8,250,"2022-06-14 19:51:25"
13,Rainar,Estonia,"Standard Double or Twin Room",4,"October 2020","
 October 10, 2020
",Pleasant,"Internet speed was terrible",,0,6,250,"2022-06-14 19:51:25"
14,Mario,"United Kingdom","Standard Double or Twin Room",1,"July 2020","
 October 9, 2020
","great hotel","modern hotel","parking expensive",0,9,250,"2022-06-14 19:51:25"
15,Diana,Colombia,"Standard Double or Twin Room",1,"October 2020","
 October 8, 2020
","Very Good",,,0,8,250,"2022-06-14 19:51:25"
16,Sarang,Switzerland,"Standard Double or Twin Room",2,"September 2020","
 October 7, 2020
","A great hotel with excellent staff","A very good hotel with exceptional staff! We noticed majority of staff having excellent English conversational skills. We were 4 adults with 1 kid. AC was dysfunctional in one of our 2 booked rooms. Anastasia, from the reception promptly solved this by offering us alternate room. And she even levied off parking fees. Cleanliness is very much taken care in the hotel during these difficult times. Interiors are bit dated but are clean and maintained. Full breakfast was served even though most other hotels were having reduced breakfast facilities. Emin, the staff associate at food counter was very polite, attentive and charming. Hotel is easily reachable by train and car, quite near to highway entry/exit. Hotel provides covered parking; free parking outside on street is available although it can be difficult to find during business hours. Niederrad bahnhof is within walking distance from hotel. It is just next to Aldi Süd, about 400 meters from hotel. Overall we are very satisfied and would like to come to this hotel again. Finally, do not forget to enjoy curry food at the Indian restaurant within walking distance.",,0,10,250,"2022-06-14 19:51:25"
17,Sanghoon,Germany,"Superior Double Room",1,"August 2020","
 October 4, 2020
","Very Good",,,0,8,250,"2022-06-14 19:51:25"
18,Ahmed,Germany,"Standard Double or Twin Room",1,"October 2020","
 October 4, 2020
","Family comes first","I really appreciate the way they understood that our babies cant sleep alone and prepared the room with extra bed for them..",,0,10,250,"2022-06-14 19:51:25"
19,Yoel,Israel,"Standard Double or Twin Room",1,"October 2020","
 October 3, 2020
","Great value","It was great accommodation, very comfortable and great value for money",,0,9,250,"2022-06-14 19:51:25"
20,Sirwan,Germany,"Standard Double or Twin Room",1,"October 2020","
 October 3, 2020
","Very Good",,,0,8,250,"2022-06-14 19:51:25"
21,Cristina,France,"Standard Double or Twin Room",1,"October 2020","
 October 3, 2020
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
22,Shankar,Germany,"Superior Double Room",1,"September 2020","
 October 2, 2020
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
23,Anonymous,Netherlands,none,1,"September 2020","
 September 26, 2020
","Rude and arrogant hotel staff","Not much","The arrogance of the staff (two men)",0,3,250,"2022-06-14 19:51:25"
24,Dan,Germany,"Standard Double or Twin Room",1,"September 2020","
 September 17, 2020
",Good,"The staff was kind and helpful","The room was a bit small for a family",0,7,250,"2022-06-14 19:51:25"
25,Abdullah,Netherlands,"Standard Double or Twin Room",1,"September 2020","
 September 14, 2020
","Clean comfortable place","Staff is helpful. Very good breakfast. Hotel is clean and beds are very comfortable. Strong wifi connection. Nice location. Highly recommended.",,1,10,250,"2022-06-14 19:51:25"
26,Paul,Germany,"Superior Double Room",1,"May 2022","
 May 2, 2022
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
27,Jonathan,Germany,"Standard Double or Twin Room",2,"April 2022","
 April 29, 2022
",Good,,,0,7,250,"2022-06-14 19:51:25"
28,Ayhan,Turkey,"Superior Double Room",3,"April 2022","
 April 22, 2022
","Very Good",,,0,8,250,"2022-06-14 19:51:25"
29,Ibrahim,Lebanon,"Superior Double Room",1,"April 2022","
 April 22, 2022
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
30,Seong-hun,Luxembourg,"Superior Double Room",1,"February 2022","
 April 21, 2022
",Exceptional,"the bed was very comfortable and staffs were friendly",,0,10,250,"2022-06-14 19:51:25"
31,Milda,Ireland,"Standard Double or Twin Room",2,"April 2022","
 April 19, 2022
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
32,Ion,Belgium,"Superior Double Room",1,"April 2022","
 April 14, 2022
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
33,A,"United Kingdom","Standard Double or Twin Room",4,"April 2022","
 April 11, 2022
","Had a really great stay.","Really good selection at breakfast. Great juicy chunks of pineapple and melon, fresh grapes. Lovely german rolls. Good cooked breakfast though I didn't try it.Lovely view to the mountains in the distance from my room.Very convenient for seeing my relatives. Also really near Niederrad Station, very quick journey from there to the main Frankfurt station. Also close to trams and buses","Receptionists on the day I arrived were not friendly and very officious. But the ones the rest of my stay were friendly and efficient.On arrival my room was missing soap and shampoo. Quickly sorted out",0,8,250,"2022-06-14 19:51:25"
34,Alexandra,Germany,"Standard Double or Twin Room",1,"March 2022","
 March 28, 2022
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
35,Mohamed,Egypt,"Superior Double Room",3,"March 2022","
 March 18, 2022
",perfect,"breakfast was very goog but no salamon",,0,8,250,"2022-06-14 19:51:25"
36,Seli̇m,Turkey,"Standard Double or Twin Room",8,"December 2021","
 March 13, 2022
",Exceptional,,,0,10,250,"2022-06-14 19:51:25"
37,Caroline,Belgium,"Superior Double Room",1,"February 2022","
 March 11, 2022
","Excellent hotel for a night's stay on the way to the South (or for business purpose)","Friendly and helpful staff, nice clean room and bathroom, good bed and pillow, just everything we needed from the room for a stop-over on our way to Austria. We particularly enjoyed the breakfast buffet that was generous and varied - excellent value!","It's a pity that the hotel restaurant was closed because of corona, and there are hardly any dining options in this neighbourhood of Frankfurt. Luckily there's a Lidl supermarket just in front and we could buy some bread and salads there.",0,8,250,"2022-06-14 19:51:25"
38,Walid,Egypt,"Standard Double or Twin Room",7,"March 2022","
 March 8, 2022
",Wonderful,,,0,9,250,"2022-06-14 19:51:25"
39,Ana,Belgium,"Superior Double Room",1,"March 2022","
 March 7, 2022
",Good,,,0,7,250,"2022-06-14 19:51:25"
