review_id,reviewer_nickname,reviewer_location,room_type,number_nights,trip_type,stay_date,review_date,review_title,positive_review_text,negative_review_text,photos,rating,id_property,insert_time,,,,,,
1,Juraj,Slovakia,Room with Queen Size Bed,1,Solo traveler,Nov-21,4-Nov-21,Exceptional,,,0,10,277,6/23/2022 9:46,,,,,,
2,Grammatikos,Greece,Room with Queen Size Bed,1,Couple,Oct-21,26-Oct-21,Pleasant,,,0,6,277,6/23/2022 9:46,,,,,,
3,Eddie,Germany,Room with Queen Size Bed,1,Couple,Oct-21,11-Oct-21,Breakfast could be more choices.,,,0,9,277,6/23/2022 9:46,,,,,,
4,Daria,Poland,Room with Queen Size Bed,1,Couple,Oct-21,10-Oct-21,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
5,Jess,Germany,Room with King Size bed,1,Solo traveler,Aug-21,26-Aug-21,Good,,,0,7,277,6/23/2022 9:46,,,,,,
6,Israel,United States of America,Room with King Size bed,1,Couple,Aug-21,2-Aug-21,Rest in a comfortable room.,The hotel has a nice air conditioning and comfortable bed. Room was nice clean with fresh clean sheets.,Parking is not free.,0,10,277,6/23/2022 9:46,,,,,,
7,Martin,Switzerland,Room with King Size bed,1,Family,Jul-21,12-Jul-21,A pleasant surprise !,"This is a really good hotel for a few nights or on a business trip. The quality is outstanding for the price. Way better than its usual counterparts (B&B Hotels, Ibis, etc.). The bed is incredibly comfy, the shower is great and the lobby seemed fine. All in all, a very good suprise and we will definitely try Motel One again when travelling and needing a stop for a night or 2.",We asked for a baby cot and it wasn't in the room. But everything was fixed in minutes. The car park seems a bit expensive as it is not protected or any different than any other free car parks in that kind of hotels.,0,9,277,6/23/2022 9:46,,,,,,
8,Ildena,Germany,Room with Queen Size Bed,1,Solo traveler,Jul-21,2-Jul-21,Exceptional,,,0,10,277,6/23/2022 9:46,,,,,,
9,Markolazic,Germany,Room with King Size bed,1,Couple,Feb-21,27-Feb-21,Wonderful,Staff was amazing. Very polite and kind. Great breakfast. Nice social room,Room was kinda small and heating was weak even when I put it on max.,0,9,277,6/23/2022 9:46,,,,,,
10,Sinem,United Kingdom,Room with Queen Size Bed,1,Solo traveler,Dec-20,3-Feb-21,Pet-friendly budget stay near airport,"Perfect budget stay near the airport for one night. Pet-friendly: My dog was allowed to stay in this hotel as well, however I wish they would have provided a bowl for dogs which I have seen in other hotels.",-,3,8,277,6/23/2022 9:46,,,,,,
11,Sonya,United States of America,Room with King Size bed,1,Couple,Jan-21,18-Jan-21,Favorite stopover before a flight.,"We love this hotel for our flight evenings.
Always incredibly friendly and proffesional service, at front desk, bar and during the breakfast. 
Sadly due to Covid regulations there is no bar and breakfast in place. But the front desk service is still outrageous!","Huh, it is the Covid times regulations we didn't like, so no bar, no normal breakfast ... Usually this place has great brekfast and a pretty decent bar at the evenings. Both with very good service.",0,10,277,6/23/2022 9:46,,,,,,
12,Myriam,Germany,Room with King Size bed,1,Couple,Nov-20,23-Dec-20,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
13,Annette,Germany,Room with King Size bed,1,Couple,Sep-20,17-Oct-20,happy to stay there again!,"Breakfast choice due to Corona, food was served nicely and was superb",The TV did not work and even though the reception was informed nothing happend ...,0,9,277,6/23/2022 9:46,,,,,,
14,Natalia,Spain,Room with King Size bed,1,Solo traveler,Sep-20,21-Sep-20,Exceptional,,,0,9.6,277,6/23/2022 9:46,,,,,,
15,NULL,United Kingdom,NULL,4,Solo traveler,Sep-20,18-Sep-20,Great for business travel,Poor selection of food onsite,,0,8,277,6/23/2022 9:46,,,,,,
16,Maksim,Germany,Room with King Size bed,1,Family,Aug-20,5-Sep-20,Great value for the price!,"Free Private Parking, Clean room and Bathroom, Pet friendly (5 EUR per night), Extremely friendly staff.",I would recommend only if you travel by car.,0,9,277,6/23/2022 9:46,,,,,,
17,Maksim,Germany,Room with King Size bed,1,Family,Jul-20,5-Sep-20,Great Value for the price!,"Private Free Parking, Clean Room and bathroom, Pets allowed for 5EUR per night, Extremely friendly staff.",I would recommend only if you travel by car.,0,9,277,6/23/2022 9:46,,,,,,
18,Adelle,Germany,Room with King Size bed,1,Couple,Aug-20,16-Aug-20,Comfortable and friendly,,,0,8,277,6/23/2022 9:46,,,,,,
19,Cedric,Germany,Room with Queen Size Bed,1,Family,Aug-20,13-Aug-20,Very Good,"Good baby bet on request, good breakfast, room very clean, WiFi very fast",Room a bit small,0,8,277,6/23/2022 9:46,,,,,,
20,Ruta,Germany,Room with Queen Size Bed,1,Family,Jul-20,29-Jul-20,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
21,Nikica,Croatia,Room with King Size bed,1,Couple,Jul-20,24-Jul-20,Disappointing,Room was at first floor above bar and it was too laud.We didnt get sleep until after midnight.,,0,4,277,6/23/2022 9:46,,,,,,
22,Andrea,Austria,Room with King Size bed,3,Group,Jan-20,17-Mar-20,Wonderful,"Great breakfast, cosy atmosphere and close to the airport. Great that they have an airport shuttle.",,0,9,277,6/23/2022 9:46,,,,,,
23,Sera,Canada,Room with King Size bed,1,Couple,Mar-20,15-Mar-20,great,"modern, clean and efficient","We were told breakfast would be served at 6 am next morning but the next morning we were told breakfast, because it was Saturday, would only be served at 7. We were given complimentary coffee.",0,10,277,6/23/2022 9:46,,,,,,
24,Ronald,Netherlands,Room with Queen Size Bed,2,Solo traveler,Feb-20,25-Feb-20,Exceptional,,,0,10,277,6/23/2022 9:46,,,,,,
25,NULL,Belgium,NULL,2,Solo traveler,Feb-20,19-Feb-20,Wonderful,,,0,9,277,6/23/2022 9:46,,,,,,
26,Marion,Canada,Room with Queen Size Bed,1,Solo traveler,Jun-22,19-Jun-22,Wonderful,,,0,9,277,6/23/2022 9:46,,,,,,
27,Sonya,United States of America,Room with King Size bed,1,Couple,Jun-22,15-Jun-22,Favorite overnight when flying,"Everything was perfect: Location, service, parking, breakfast. The room and bathroom very clean. The staff friendly and welcoming!
Our favorite stay before or after a flight.",,0,10,277,6/23/2022 9:46,,,,,,
28,Brittney,Israel,Room with King Size bed,3,Couple,Jun-22,14-Jun-22,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
29,Tim,United States of America,Room with King Size bed,1,Couple,Jun-22,13-Jun-22,Very Good,Very convenient to go to Frankfurt Stadium. Staff was friendly. Hotel was near motorway and easy access.,,0,8,277,6/23/2022 9:46,,,,,,
30,Gabriella,United Kingdom,Room with Queen Size Bed,2,Solo traveler,May-22,13-Jun-22,Good,,,0,7,277,6/23/2022 9:46,,,,,,
31,Sulaksa,Germany,Room with Queen Size Bed,1,Family,May-22,12-Jun-22,Exceptional,,,0,10,277,6/23/2022 9:46,,,,,,
32,Yogendra,Italy,Room with Queen Size Bed,1,Solo traveler,May-22,10-Jun-22,Exelent,I was there... Without booked breakfast,,0,10,277,6/23/2022 9:46,,,,,,
33,Agnes,Estonia,Room with King Size bed,1,Solo traveler,Jun-22,9-Jun-22,Wonderful,,,0,9,277,6/23/2022 9:46,,,,,,
34,William,Germany,Room with Queen Size Bed,1,Solo traveler,Jun-22,9-Jun-22,Wonderful,,,0,9,277,6/23/2022 9:46,,,,,,
35,Schaus,Germany,Room with Queen Size Bed,1,Solo traveler,Jun-22,8-Jun-22,"Super basic and not even standard, not restful.","Interior design, friendly staff even at late night check in. 
Close to the airport.
Breakfast was nicely prepped with bio products and nice choices made in here. Thanks for that!","No, coffee machine or tea / mini bar with snacks and soft drinks / at least some water in the room. This should be a minimum standard. An extra towel for your hair - so three in total shall be a standard, too.
The rooms are super tiny / not able to move with larger sized trolley when u want to reach the luggage chair - could be written in the room description. // don’t bring luggage just a backpack.
It was super noisy until 4 am in neighbour rooms and at the floor regarding groups of people. Should be written down in description. // party hotel
Staff was blocking the super tiny space at the breakfast place and starring, didn’t know if there is honey available or not.",0,6,277,6/23/2022 9:46,,,,,,
36,Uribe,Colombia,Room with King Size bed,1,Group,May-22,6-Jun-22,Exceptional,The location,Nothing,0,10,277,6/23/2022 9:46,,,,,,
37,Cermeno,Germany,Room with Queen Size Bed,2,Couple,May-22,2-Jun-22,Very Good,"Clean room, we were able to bring our pet. Nice and quiet.",No parking. Parking lot was full one day.,0,8,277,6/23/2022 9:46,,,,,,
38,Sunday,Canada,Room with Queen Size Bed,1,Solo traveler,May-22,29-May-22,Exactly what I was looking for.,Location to airport was very good.,Wish it had a restaurant,0,8,277,6/23/2022 9:46,,,,,,
39,Ivan,Switzerland,Room with King Size bed,1,Solo traveler,May-22,24-May-22,Wonderful,,,0,9,277,6/23/2022 9:46,,,,,,
40,Camila,Germany,Room with King Size bed,1,Couple,May-22,21-May-22,Great airport hotel!,Comfortable and stylish hotel at a reasonable price! Very easy booking and check-in / -out. The staff was very polite and helpful.,Nothing! It was great.,0,10,277,6/23/2022 9:46,,,,,,
41,NULL,United Kingdom,NULL,1,Solo traveler,May-22,21-May-22,Poor,I’d like a full refund. They have not received the email from booking and I am laying on a couch in the lobby.,,0,3.8,277,6/23/2022 9:46,,,,,,
42,Adrian,United Kingdom,Room with Queen Size Bed,1,Solo traveler,May-22,20-May-22,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
43,Juha,Finland,Room with King Size bed,1,Solo traveler,May-22,20-May-22,Wonderful,Good breakfast,,0,9,277,6/23/2022 9:46,,,,,,
44,Genevieve,United Kingdom,Room with Queen Size Bed,2,Solo traveler,May-22,20-May-22,"It was clean and comfortable, perfect for a short stay trip.","Staff were lovely and friendly, very helpful. Room was clean and bigger than i was expecting.","There is no direct public transport link to the hotel, ended up walking for 20 minutes each time to or from the sbahn through quite a built up area. It’s convenient enough if you are able bodied and once you’ve dropped off luggage, but you might be better off calling a taxi or arranging to use the hotel’s shuttle service if you don’t want to walk!",0,9,277,6/23/2022 9:46,,,,,,
45,Kristien,Belgium,Room with Queen Size Bed,1,Family,May-22,19-May-22,Nice and cosy hotel.,"The staff was very friendly and helpfull.  The bed was very comfortable.  The room was very clean.  Perfect for a one night stay.  They also serve vegan food at breakfast, which is very nice.  I recommend this hotel.",,0,9,277,6/23/2022 9:46,,,,,,
46,Živilė,Lithuania,Room with Queen Size Bed,1,Group,May-22,18-May-22,Exceptional,That you have a shutle,,0,10,277,6/23/2022 9:46,,,,,,
47,Verena,Germany,Room with Queen Size Bed,1,Group,May-22,18-May-22,Exceptional,,,0,10,277,6/23/2022 9:46,,,,,,
48,NULL,Serbia,NULL,1,Solo traveler,May-22,17-May-22,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
49,La,Germany,Room with Queen Size Bed,1,Solo traveler,May-22,17-May-22,Very Good,,,0,8,277,6/23/2022 9:46,,,,,,
50,Ria,France,Room with King Size bed,1,Solo traveler,May-22,16-May-22,Wonderful,,,0,9,277,6/23/2022 9:46,,,,,,
51,Maciej,Czech Republic,Twin Room with Private Bathroom,1,Couple,Apr-22,23-Apr-22,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
52,Vivek,India,Twin Room with Private Bathroom,2,Couple,Apr-22,23-Apr-22,"nice , cozy and clean hostel few 100 meters from the old town","location, cleanliness, facilities everything was superb",,0,10,278,6/23/2022 9:46,,,,,,
53,Natasha,Poland,Bed in 6-Bed Dormitory Room,1,Couple,Mar-22,23-Apr-22,Exceptional,,,0,10,278,6/23/2022 9:46,,,,,,
